paragraph_index	text	style_id	outline_level	detected_section	character_count	word_count	contains_figure_reference	contains_table_reference
46	Dataset repair and construction of a multi-context UTI host-response atlas	Heading2			74	10	False	False
47	We first constructed a harmonized host-response module framework to compare UTI-related signals across recurrence, pregnancy-associated infection, human urine inflammatory states, and single-cell UPEC exposure. After matrix repair and module-score harmonization, the usable analysis framework comprised the GSE186800 recurrence-trigger bladder model, the GSE280297 pregnancy-associated UTI model, the repaired GSE112098 human urine comparator, and the GSE252321 single-cell UPEC validation layer. These layers were integrated into a module-level atlas in which each biological context was represented by signed module-score contrasts and then evaluated against UPEC-responsive single-cell module shifts (Figure 1; Figure 2; Table S1).				734	91	True	False
48	The single-cell validation layer included 28313 cells across four biological samples, comprising 14857 control cells from 2 control samples and 13456 UPEC-exposed cells from 2 UPEC samples. Because the design contains two biological samples per group, sample-level single-cell contrasts were treated as biological-replicate summaries, whereas cell-level contrasts were interpreted as validation distributions rather than independent biological-replicate tests (Figure 6; Table S2).				481	61	True	False
49	Recurrence-trigger and pregnancy-associated UTI models reveal recurrent innate inflammatory modules	Heading2			99	10	False	False
50	In the GSE186800 recurrence-trigger bladder model, Gardnerella exposure produced module-level shifts involving MACROPHAGE_DC_ACTIVATION (decreased, delta -0.609); COMPLEMENT_COAGULATION_ANTIMICROBIAL (decreased, delta -0.391); NF_KB_MAPK_INFLAMMATION (increased, delta 0.322); FERROPTOSIS_OXIDATIVE_CELL_DEATH (increased, delta 0.314); TLR5_FLAGELLIN_SIGNALING (increased, delta 0.294); NEUTROPHIL_NETOSIS (decreased, delta -0.271). These results supported the use of GSE186800 as a recurrence-trigger context rather than as a stand-alone acute infection model (Figure 2; Table S3).				582	65	True	False
51	The GSE280297 pregnancy-associated UTI model added tissue-specific resolution across bladder, uterus, and placenta. The largest module shifts included NEUTROPHIL_NETOSIS in Bladder (Bladder_UTI89_Nonpregnant_vs_Mock_PBS, delta 1.061); TYPE_I_INTERFERON_IRF in Bladder (Bladder_UTI89_Preterm_vs_Mock_PBS, delta 0.976); NEUTROPHIL_NETOSIS in Bladder (Bladder_UTI89_Preterm_vs_Mock_PBS, delta 0.943); TLR5_FLAGELLIN_SIGNALING in Bladder (Bladder_UTI89_Nonpregnant_vs_Mock_PBS, delta 0.919); TLR4_LPS_SIGNALING in Bladder (Bladder_UTI89_Nonpregnant_vs_Mock_PBS, delta 0.894); GLUCOCORTICOID_SIGNALING in Bladder (Bladder_UTI89_Nonpregnant_vs_Mock_PBS, delta -0.890); TCA_OXPHOS_MITOCHONDRIAL in Placenta (Placenta_UTI89_Term_vs_Mock_PBS, delta -0.703); NF_KB_MAPK_INFLAMMATION in Bladder (Bladder_UTI89_Nonpregnant_vs_Mock_PBS, delta 0.699). Together, these contrasts captured innate-sensing, inflammatory cell-death, hormonal-response, and transcriptionally inferred metabolic activity axes in pregnancy-associated UTI contexts (Figure 5; Table S3).				1046	96	True	False
52	A repaired human urine comparator supports inflammatory and immunometabolic module activation	Heading2			93	11	False	False
53	Repair of the GSE112098 series matrix recovered a human urine inflammatory comparator with sepsis and vascular-surgery control groups. In this urine comparator, the strongest module differences included GLUCOCORTICOID_SIGNALING (delta 0.427, FDR 0.001); OXYTOCIN_PREGNANCY_SIGNALING (delta 0.343, FDR 0.001); GLYCOLYSIS_CARBON_FLUX (delta 0.575, FDR 0.001); NLRP3_PYROPTOSIS (delta 0.507, FDR 0.001); MACROPHAGE_DC_ACTIVATION (delta 0.470, FDR 0.004); NEUTROPHIL_NETOSIS (delta 0.404, FDR 0.005); NF_KB_MAPK_INFLAMMATION (delta 0.403, FDR 0.011); NECROPTOSIS_MODULE (delta 0.306, FDR 0.011); TLR4_LPS_SIGNALING (delta 0.293, FDR 0.011); APOPTOSIS_MODULE (delta 0.180, FDR 0.026). These results supported the inclusion of GSE112098 as a human urine validation context for inflammatory, cell-death, innate-sensing, and transcriptionally inferred metabolic activity modules (Figure 2; Figure 3; Table S4).				902	126	True	False
54	Cross-cohort prioritization identifies convergent UTI host-response modules	Heading2			75	7	False	False
55	Cross-cohort prioritization identified a recurrent host-response architecture dominated by NEUTROPHIL_NETOSIS, TYPE_I_INTERFERON_IRF, TLR4_LPS_SIGNALING, NLRP3_PYROPTOSIS, TLR5_FLAGELLIN_SIGNALING, NECROPTOSIS_MODULE, COMPLEMENT_COAGULATION_ANTIMICROBIAL, NF_KB_MAPK_INFLAMMATION, MACROPHAGE_DC_ACTIVATION, GLUCOCORTICOID_SIGNALING, OXYTOCIN_PREGNANCY_SIGNALING, UROTHELIAL_BARRIER_REPAIR, FERROPTOSIS_OXIDATIVE_CELL_DEATH, OXIDATIVE_STRESS_NRF2, PENTOSE_PHOSPHATE_NADPH. These modules were prioritized because they combined cross-context representation, large module-score shifts, broad model-family coverage, and directional support in the single-cell UPEC validation layer. The highest-ranked modules concentrated in neutrophil/NETosis, interferon-like inflammation, TLR4/TLR5 innate sensing, NLRP3/pyroptosis, necroptosis, complement/antimicrobial defense, NF-kB/MAPK inflammation, macrophage/DC activation, glucocorticoid signaling, and oxytocin/pregnancy-linked signaling (Figure 2; Figure 3; Figure 4; Table S5).				1019	87	True	False
56	Single-cell UPEC validation confirms dominant innate-sensing, inflammatory, and cell-death modules	Heading2			98	10	False	False
